stage,stiffness_n_per_m32,dissipation_s_per_m,duration_s,duration_residual_s,trace_rmse,objective,passive
grid,841395.1416451947,0.025,0.004849773734569827,0.0038497737345698268,0.43361298943982096,154.42456237223288,True
grid,891250.9381337459,0.025,0.004739379145020923,0.0037393791450209234,0.433279005876114,150.00844480671302,True
grid,944060.8762859226,0.025,0.004631497443093217,0.0036314974430932167,0.43292565989374004,145.6928233836224,True
grid,1000000.0,0.025,0.0045260714284804035,0.0035260714284804035,0.4325518654027483,141.47540900461888,True
grid,1059253.7251772897,0.025,0.004423045202914012,0.0034230452029140124,0.4321564812532423,137.35396459781373,True
grid,1122018.4543019629,0.025,0.004322364140525559,0.0033223641405255586,0.43173830948356784,133.3263039305059,True
grid,1188502.2274370189,0.025,0.004223974858883069,0.003223974858883069,0.4312960937288327,129.39029044905158,True
grid,1258925.411794166,0.025,0.004127825190687123,0.003127825190687123,0.43082851784901,125.54383614533393,True
grid,1333521.432163324,0.025,0.004033864156110898,0.0030338641561108983,0.43033420484942164,121.78490044928535,True
grid,1412537.5446227554,0.025,0.0039420419357701795,0.0029420419357701795,0.4298117161829786,118.11148914699015,True
grid,1496235.6560944328,0.025,0.003852309844308272,0.002852309844308272,0.429259551543779,114.52165332387466,True
grid,1584893.1924611141,0.025,0.0037646203045825456,0.0027646203045825456,0.42867614928642434,111.01348833258824,True
grid,1678804.018122559,0.025,0.0036789268224383265,0.0026789268224383265,0.42805988763572644,107.58513278516878,True
grid,1778279.410038923,0.025,0.003595183962057196,0.002595183962057196,0.42740908688871826,104.23476756917655,True
grid,1883649.089489802,0.025,0.0035133473218659783,0.0025133473218659783,0.4267220128566469,100.96061488749577,True
grid,1995262.3149688789,0.025,0.003433373510994885,0.002433373510994885,0.4259968818510048,97.7609373216464,True
grid,2113489.0398366475,0.025,0.003355220126270847,0.002355220126270847,0.4252318675872927,94.63403691842116,True
grid,2238721.138568338,0.025,0.0032788457297346744,0.0022788457297346744,0.42442511046633197,91.5782542998533,True
grid,2371373.7056616554,0.025,0.003204209826670539,0.002204209826670539,0.42357472979975,88.5919677966213,True
grid,2511886.4315095823,0.025,0.0031312728441345787,0.0021312728441345787,0.4226788396790529,85.6735926050622,True
grid,2660725.059798809,0.025,0.0030599961099732477,0.0020599961099732477,0.42173556935309786,82.821579968283,True
grid,2818382.931264455,0.025,0.002990341832318708,0.001990341832318708,0.4207430891854632,80.03441638193378,True
grid,2985382.618917957,0.025,0.00292227307955092,0.00192227307955092,0.41969964352199046,77.3106228255588,True
grid,3162277.6601683795,0.025,0.002855753760716132,0.001855753760716132,0.4186035921237745,74.64875402076905,True
grid,3349654.3915782794,0.025,0.0027907486063910346,0.0017907486063910346,0.4174534622299937,72.04739771787138,True
grid,3548133.892335753,0.025,0.0027272231499823594,0.0017272231499823594,0.41624801383148724,69.50517401312587,True
grid,3758374.0428844434,0.025,0.002665143709452236,0.0016651437094522361,0.4149863213896826,67.02073469947912,True
grid,3981071.7055349695,0.025,0.0026044773694595073,0.0016044773694595072,0.41366787606508054,64.59276265444537,True
grid,4216965.034285823,0.025,0.002545191963907953,0.001545191963907953,0.41229271357488834,62.219971269893,True
grid,4466835.921509635,0.025,0.002487256058890523,0.0014872560588905228,0.4108615741453537,59.90110392976626,True
grid,4731512.589614803,0.025,0.0024306389360236394,0.0014306389360236394,0.4093761027445632,57.63493354369014,True
grid,5011872.336272725,0.025,0.002375310576159255,0.001375310576159255,0.4078390999844144,55.42026214635462,True
grid,5308844.442309879,0.025,0.0023212416434687435,0.0013212416434687435,0.4062548369060249,53.25592057565576,True
